serial_no,action,website,reviewed_url,india_link,why_india,amex_status,snapshot_file,archive_member,bytes,sha256
4,No immediate action,www.chitfundcalculator.in,https://www.chitfundcalculator.in/,India jurisdiction signal,Included because India was inferred from currency symbol INR.,Not found on reviewed page,evidence_snapshots/base_00004_www.chitfundcalculator.in_1c6125d66c.html,base_00004_www.chitfundcalculator.in_1c6125d66c.html,3582,1c6125d66c9c3e034ddc15d62b6021337558646cf65c78f56e606e13c6ae0812
5,No immediate action,www.bajajfinserv.in,https://www.bajajfinserv.in/investments/chit-funds,India jurisdiction signal + hosted in India,Included because India was inferred from currency text Rs.; resolved IP also geolocated to India.,Not found on reviewed page,evidence_snapshots/base_00005_www.bajajfinserv.in_b371565aa1.html,base_00005_www.bajajfinserv.in_b371565aa1.html,474298,b371565aa1e8e7c0a322b9b641538dbbc48a68e2d4397e277e4e90a224215fef
6,No immediate action,dichit.money,https://dichit.money/,India jurisdiction signal + hosted in India,Included because India was inferred from currency symbol INR; resolved IP also geolocated to India.,Not found on reviewed page,evidence_snapshots/base_00006_dichit.money_dbbe4ea464.html,base_00006_dichit.money_dbbe4ea464.html,172087,dbbe4ea464d2ee5212e59c7a2961f28e989198e8130b95feb1fd320df0654e23
7,No immediate action,chitfund.delhi.gov.in,https://chitfund.delhi.gov.in/chitfund/duties-subscriber,India jurisdiction signal + hosted in India,Included because India was inferred from country mention: india; resolved IP also geolocated to India.,Not found on reviewed page,evidence_snapshots/base_00007_chitfund.delhi.gov.in_743c14ca07.html,base_00007_chitfund.delhi.gov.in_743c14ca07.html,53781,743c14ca079a42b3159c5fe73f957595ae7142072bb1beea93f70b012ee3ec33
8,No immediate action,www.scribd.com,https://www.scribd.com/document/866269856/Book-3-082328,India jurisdiction signal + hosted in India,Included because India was inferred from search market en-IN; resolved IP also geolocated to India.,Not found on reviewed page,evidence_snapshots/base_00008_www.scribd.com_b33f12ab59.html,base_00008_www.scribd.com_b33f12ab59.html,1159366,b33f12ab59d729ff9ce9ee03fb78e83bf16a340bedcc9eebf327cbc8ec66ab3c
9,No immediate action,chitfund.delhi.gov.in,https://chitfund.delhi.gov.in/,India jurisdiction signal + hosted in India,Included because India was inferred from currency text Rs.; resolved IP also geolocated to India.,Not found on reviewed page,evidence_snapshots/base_00009_chitfund.delhi.gov.in_e9a7d0caff.html,base_00009_chitfund.delhi.gov.in_e9a7d0caff.html,59020,e9a7d0caffc8b1d91fe61ff5c4950e13966eb8a304ce91188cf5d1e6af6074d4
10,No immediate action,chit.fund,https://chit.fund/how-it-works/,Hosted in India only,Included because the resolved IP geolocated to India (ip-api.com host geolocation); confirm business relevance manually.,Not found on reviewed page,evidence_snapshots/base_00010_chit.fund_6d66e1b77d.html,base_00010_chit.fund_6d66e1b77d.html,277369,6d66e1b77dd8bd3d2a7d99bd5c17b429c1d51ee20e2e033cf71aa03a846b9baa
11,No immediate action,lotterysambadresult.in,https://lotterysambadresult.in/,India jurisdiction signal,Included because India was inferred from currency symbol INR.,Not found on reviewed page,evidence_snapshots/base_00011_lotterysambadresult.in_1abbdb43dd.html,base_00011_lotterysambadresult.in_1abbdb43dd.html,43199,1abbdb43dd15f28c3f9ee8e4519714cee60ee948c8f932a07ecb4d4a5cc6a928
12,No immediate action,westbengalstatelottery.com,https://westbengalstatelottery.com/,India jurisdiction signal + hosted in India,Included because India was inferred from currency text Rs.; resolved IP also geolocated to India.,Not found on reviewed page,evidence_snapshots/base_00012_westbengalstatelottery.com_cd3d600fc4.html,base_00012_westbengalstatelottery.com_cd3d600fc4.html,23062,cd3d600fc40d6b80c0255697b8f46d55546d251de6a1d4f43be0b6cae5b6f8ce
13,No immediate action,lotterysambadresult.in,https://lotterysambadresult.in/nagaland-state-lottery-sambad-today-result-1-pm.html,India jurisdiction signal,Included because India was inferred from country-code domain .in.,Not found on reviewed page,evidence_snapshots/base_00013_lotterysambadresult.in_cc83c47d97.html,base_00013_lotterysambadresult.in_cc83c47d97.html,19631,cc83c47d97c8b83761de4d90184ecbcb222b264bce77d44236ac20266d241b4c
